序号,设备编号,班组,起始时间,结束时间,持续工作时间(s),工序编号,车间,运输时间(s)
1,Precision Filling Machine1-2,1,200,5600,5400,A1,A,200
2,Automated Conveying Arm1-1,1,200,4520,4320,A1,A,200
3,Industrial Cleaning Machine1-1,1,230,10598,10368,C1,C,230
4,Automated Conveying Arm1-3,1,230,10598,10368,C1,C,230
5,Industrial Cleaning Machine2-3,2,340,8980,8640,D1,D,340
6,Precision Filling Machine1-2,1,8980,23380,14400,D2,D,355
7,Automated Conveying Arm1-2,1,8980,18580,9600,D2,D,355
8,Precision Filling Machine1-1,1,10598,18004,7406,C2,C,230
9,High-speed Polishing Machine1-1,1,10828,28828,18000,A2,A,200
10,Industrial Cleaning Machine1-1,1,10828,18028,7200,A2,A,200
11,Precision Filling Machine1-4,1,18004,24484,6480,C3_1,C,230
12,Automated Conveying Arm1-1,1,18004,23188,5184,C3_1,C,230
13,Precision Filling Machine1-1,1,23380,28009,4629,D3,D,355
14,High-speed Polishing Machine2-1,2,24484,36484,12000,C4_1,C,310
15,Industrial Cleaning Machine1-1,1,24484,38884,14400,C4_1,C,230
16,High-speed Polishing Machine1-1,1,29028,74028,45000,D4,D,355
17,Automatic Sensing Multi-Function Machine1-1,1,29028,47028,18000,D4,D,355
18,Automatic Sensing Multi-Function Machine2-1,2,38884,53284,14400,C5_1,C,310
19,Industrial Cleaning Machine1-1,1,39114,43434,4320,B1,B,310
20,Precision Filling Machine1-2,1,43434,70434,27000,B2,B,310
21,Automated Conveying Arm1-1,1,43434,61434,18000,B2,B,310
22,Industrial Cleaning Machine1-1,1,43744,58144,14400,E1,E,200
23,Precision Filling Machine1-1,1,53284,59764,6480,C3_2,C,230
24,Automated Conveying Arm2-1,2,53284,58468,5184,C3_2,C,310
25,Automatic Sensing Multi-Function Machine2-1,2,53594,71594,18000,A3,A,250
26,High-speed Polishing Machine2-1,2,59764,71764,12000,C4_2,C,310
27,Industrial Cleaning Machine1-1,1,59764,74164,14400,C4_2,C,230
28,Precision Filling Machine1-1,1,70434,74137,3703,B3,B,310
29,Automatic Sensing Multi-Function Machine2-1,2,74028,92028,18000,D5,D,340
30,Automatic Sensing Multi-Function Machine1-1,1,74164,88564,14400,C5_2,C,230
31,Precision Filling Machine1-1,1,74447,80619,6172,E2,E,200
32,Precision Filling Machine1-1,1,88564,95044,6480,C3_3,C,230
33,Automated Conveying Arm1-1,1,88564,93748,5184,C3_3,C,230
34,High-speed Polishing Machine2-1,2,92028,117228,25200,D6,D,340
35,Automatic Sensing Multi-Function Machine2-1,2,92368,99568,7200,E3,E,275
36,Industrial Cleaning Machine1-1,1,92368,113968,21600,E3,E,200
37,High-speed Polishing Machine1-1,1,95044,107044,12000,C4_3,C,230
38,Industrial Cleaning Machine2-5,2,95044,109444,14400,C4_3,C,310
39,High-speed Polishing Machine1-1,1,107274,118074,10800,B4,B,310
40,Automatic Sensing Multi-Function Machine1-1,1,107274,120234,12960,B4,B,310
41,Automatic Sensing Multi-Function Machine2-1,2,109444,123844,14400,C5_3,C,310
